id;Name;fencer_id;tournament_id;status;first_rank;final_rank;percentile;victories;victories_perc;ts;tr;score_index
245;KAŠPAR Daniel;93;10;Advanced;14;13;0,16;5;0,83;26;18;8
246;KLAUS Robert;95;10;Advanced;19;19;0,24;4;0,80;21;13;8
247;KLSÁK Adam;96;10;Eliminated;68;68;0,85;1;0,20;16;23;-7
248;KNAP Ladislav;97;10;Advanced;25;37;0,46;4;0,67;24;19;5
249;KOTALA Jan;102;10;Advanced;13;17;0,21;5;0,83;25;16;9
250;KRAJSA Tomáš;108;10;Advanced;41;45;0,56;3;0,50;23;24;-1
251;KRÁL Jiří;111;10;Advanced;58;59;0,74;2;0,33;22;27;-5
252;KROUŽECKÝ Tomáš;110;10;Advanced;23;21;0,26;4;0,67;27;22;5
253;KŘÍŽ Petr;121;10;Advanced;30;25;0,31;3;0,60;23;19;4
254;KUCHAŘ Matěj;115;10;Eliminated;74;74;0,93;1;0,17;15;28;-13
255;KULT Pavel;117;10;Eliminated;69;69;0,86;1;0,17;21;28;-7
256;LÁNÍK Jan;130;10;Advanced;5;33;0,41;6;1,00;30;14;16
257;LOKAJ Václav;125;10;Advanced;44;48;0,60;3;0,50;22;24;-2
258;LUCOVIČ Matěj;127;10;Advanced;35;42;0,53;3;0,50;25;24;1
259;LUKEŠ Matěj;128;10;Eliminated;72;72;0,90;1;0,17;16;27;-11
260;LUŠTICKÝ Josef;129;10;Eliminated;80;80;1,00;0;0,00;11;30;-19
261;MALEČEK Jakub;132;10;Advanced;53;31;0,39;2;0,33;23;25;-2
262;MAŠATA Vojtěch;138;10;Advanced;45;16;0,20;3;0,50;22;25;-3
263;MATOUŠEK David;134;10;Advanced;55;56;0,70;2;0,33;22;25;-3
264;MIČINEC Adam;145;10;Advanced;26;38;0,48;4;0,67;27;23;4
265;MOTALÍK Libor;146;10;Advanced;21;8;0,10;4;0,67;25;19;6
266;MRÁZ Pavel;147;10;Eliminated;78;78;0,98;0;0,00;12;30;-18
267;NOVÁK Martin;154;10;Advanced;40;29;0,36;3;0,50;24;25;-1
268;OMELKA Jakub;158;10;Eliminated;73;73;0,91;1;0,17;16;28;-12
269;PAVLÍK Matyáš;162;10;Advanced;2;6;0,08;6;1,00;30;7;23
